sub,ses,deck_version,deck_file,timestamp,trial,stake,partner_name,offer_you,offer_them,fairness,deck_avatar,response,accepted,rt,payoff,proposer_onset,offer_onset,decision_onset,feedback_onset
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,1,10,Alex,3,7,unfair,,a,1,1.902,3,,0.0,2.5135,4.4242
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,2,10,Alex,2,8,unfair,,r,0,0.4765,0,,10.0492,12.5679,13.0526
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,3,10,Alex,5,5,fair,AlexP.png,r,0,3.8054,0,18.0534,79.2134,81.7341,85.5481
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,4,10,Alex,1,9,unfair,,r,0,1.5417,0,,88.612,91.1276,92.677
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,5,10,Alex,3,7,unfair,,a,1,0.7888,3,,96.9167,99.4295,100.2264
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,6,10,Alex,2,8,unfair,,r,0,0.5328,0,,106.0698,108.5808,109.1217
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,7,10,Alex,4,6,fair,,a,1,0.4568,4,,114.2229,116.7355,117.2011
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,8,10,Alex,1,9,unfair,,r,0,0.5113,0,,122.7198,125.2293,125.7487
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,9,10,Alex,3,7,unfair,,r,0,0.6305,0,,130.0441,132.5541,133.1927
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,10,10,Alex,2,8,unfair,,r,0,1.1812,0,,137.4621,139.9706,141.1602
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,11,10,Alex,1,9,unfair,,r,0,1.9965,0,,144.8337,147.3424,149.3473
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,12,10,Alex,3,7,unfair,,timeout,0,,0,,153.6256,156.1391,160.1464
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,13,10,Alex,2,8,unfair,,r,0,0.5023,0,,166.0468,168.5561,169.0666
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,14,10,Alex,5,5,fair,,r,0,0.4918,0,,174.5933,177.1024,177.6021
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,15,10,Alex,1,9,unfair,,r,0,0.4765,0,,182.8365,185.3469,185.8313
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,16,10,Alex,3,7,unfair,,a,1,0.3468,3,,191.5137,194.0249,194.3798
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,17,10,Alex,2,8,unfair,,a,1,0.8278,2,,197.5205,200.0318,200.8678
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,18,10,Alex,4,6,fair,,a,1,1.3182,4,,206.315,208.8329,210.1593
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,19,10,Alex,1,9,unfair,,r,0,0.6615,0,,216.0509,218.56,219.2297
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,20,10,Alex,2,8,unfair,,r,0,0.4404,0,,225.2098,227.7207,228.1705
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,21,10,Alex,3,7,unfair,,r,0,0.823,0,,232.4516,234.9641,235.7954
MaMTest,01,1,UGT_KT_v1_Alex.csv,20260216-104341,22,10,Alex,1,9,unfair,,r,0,1.142,0,,241.6305,244.1409,245.2906
