sub,ses,deck_version,deck_file,timestamp,trial,stake,partner_name,offer_you,offer_them,fairness,deck_avatar,response,accepted,rt,payoff,proposer_onset,offer_onset,decision_onset,feedback_onset
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,1,10,Alex,3,7,unfair,,f,1,3.7269,3,,0.0,1.8126,5.5467
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,2,10,Alex,2,8,unfair,,r,0,1.7975,0,,9.4309,11.2417,13.046
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,3,10,Alex,5,5,fair,AlexP.png,f,1,1.7233,5,17.3691,18.6082,20.4215,22.1522
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,4,10,Alex,1,9,unfair,,r,0,3.8716,0,,27.7471,29.5605,33.4405
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,5,10,Alex,3,7,unfair,,f,1,3.0716,3,,36.9023,38.7181,41.7962
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,6,10,Alex,2,8,unfair,,f,1,3.1597,2,,47.4657,49.2758,52.442
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,7,10,Alex,4,6,fair,,f,1,2.1664,4,,57.2942,59.1042,61.2772
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,8,10,Alex,1,9,unfair,,r,0,0.5848,0,,64.8207,66.6288,67.2203
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,9,10,Alex,3,7,unfair,,f,1,1.7568,3,,70.8243,72.6306,74.3941
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,10,10,Alex,2,8,unfair,,r,0,1.8897,0,,79.5572,81.3662,83.2624
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,11,10,Alex,1,9,unfair,,r,0,1.5402,0,,86.903,88.7182,90.2651
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,12,10,Alex,3,7,unfair,,f,1,1.6269,3,,94.6344,96.4511,98.0845
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,13,10,Alex,2,8,unfair,,f,1,1.6736,2,,102.6451,104.4561,106.1356
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,14,10,Alex,5,5,fair,,timeout,0,,0,,112.0878,113.9027,117.9088
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,15,10,Alex,1,9,unfair,,timeout,0,,0,,123.4784,125.2847,129.2911
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,16,10,Alex,3,7,unfair,,timeout,0,,0,,133.3284,135.1358,139.1424
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,17,10,Alex,2,8,unfair,,timeout,0,,0,,143.7937,145.6048,149.611
h,01,1,UGT_KT_v1_Alex.csv,20260112-135229,18,10,Alex,4,6,fair,,timeout,0,,0,,154.8772,156.6896,160.6964
