# partner_name: Alex
version,trial,stake,offer_you,offer_them,fairness,offer_text
2,1,10,2,8,unfair,"Partner gets $8, you get $2"
2,2,10,1,9,unfair,"Partner gets $9, you get $1"
2,3,10,3,7,unfair,"Partner gets $7, you get $3"
2,4,10,5,5,fair,"Partner gets $5, you get $5"
2,5,10,2,8,unfair,"Partner gets $8, you get $2"
2,6,10,4,6,fair,"Partner gets $6, you get $4"
2,7,10,1,9,unfair,"Partner gets $9, you get $1"
2,8,10,3,7,unfair,"Partner gets $7, you get $3"
2,9,10,2,8,unfair,"Partner gets $8, you get $2"
2,10,10,1,9,unfair,"Partner gets $9, you get $1"
2,11,10,3,7,unfair,"Partner gets $7, you get $3"
2,12,10,2,8,unfair,"Partner gets $8, you get $2"
2,13,10,5,5,fair,"Partner gets $5, you get $5"
2,14,10,1,9,unfair,"Partner gets $9, you get $1"
2,15,10,3,7,unfair,"Partner gets $7, you get $3"
2,16,10,2,8,unfair,"Partner gets $8, you get $2"
2,17,10,4,6,fair,"Partner gets $6, you get $4"
2,18,10,1,9,unfair,"Partner gets $9, you get $1"
2,19,10,3,7,unfair,"Partner gets $7, you get $3"
2,20,10,2,8,unfair,"Partner gets $8, you get $2"
2,21,10,1,9,unfair,"Partner gets $9, you get $1"
2,22,10,3,7,unfair,"Partner gets $7, you get $3"
