# partner_name: Morgan
version,trial,stake,offer_you,offer_them,fairness,offer_text
5,1,10,2,8,unfair,"Partner gets $8, you get $2"
5,2,10,3,7,unfair,"Partner gets $7, you get $3"
5,3,10,1,9,unfair,"Partner gets $9, you get $1"
5,4,10,5,5,fair,"Partner gets $5, you get $5"
5,5,10,2,8,unfair,"Partner gets $8, you get $2"
5,6,10,4,6,fair,"Partner gets $6, you get $4"
5,7,10,3,7,unfair,"Partner gets $7, you get $3"
5,8,10,1,9,unfair,"Partner gets $9, you get $1"
5,9,10,2,8,unfair,"Partner gets $8, you get $2"
5,10,10,3,7,unfair,"Partner gets $7, you get $3"
5,11,10,1,9,unfair,"Partner gets $9, you get $1"
5,12,10,5,5,fair,"Partner gets $5, you get $5"
5,13,10,2,8,unfair,"Partner gets $8, you get $2"
5,14,10,3,7,unfair,"Partner gets $7, you get $3"
5,15,10,1,9,unfair,"Partner gets $9, you get $1"
5,16,10,4,6,fair,"Partner gets $6, you get $4"
5,17,10,2,8,unfair,"Partner gets $8, you get $2"
5,18,10,3,7,unfair,"Partner gets $7, you get $3"
5,19,10,1,9,unfair,"Partner gets $9, you get $1"
5,20,10,2,8,unfair,"Partner gets $8, you get $2"
5,21,10,3,7,unfair,"Partner gets $7, you get $3"
5,22,10,1,9,unfair,"Partner gets $9, you get $1"
